;;;;;PROVISIONAL REGISTRATIONS OR SALES OF NEW VEHICLES - ALL TYPES;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;Estimated figures;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
REGIONS/COUNTRIES;;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;;
;;;;;;;;;;;;;;;;;;;
EUROPE;;;;21.063.326;21.863.840;23.006.722;21.872.430;18.645.351;18.808.688;19.740.019;18.663.178;18.343.409;18.587.650;19.035.989;20.134.829;20.916.025;;;
EU 28 countries + EFTA;;;;18.186.036;18.516.490;18.870.211;17.385.906;16.226.713;15.665.090;15.664.437;14.358.331;14.136.041;14.995.361;16.454.281;17.568.449;18.147.636;;;
EU 15 countries + EFTA;;;;16.942.079;17.161.729;17.297.311;15.813.252;15.228.050;14.696.720;14.683.816;13.419.914;13.191.331;13.913.189;15.223.766;16.145.220;16.563.830;;;
AUSTRIA;;;;345.593;347.387;339.691;336.000;350.429;362.564;396.655;374.829;357.892;342.215;349.597;374.545;403.580;;;
BELGIUM;;;;551.501;594.454;602.365;612.692;536.260;607.497;643.511;550.519;547.139;545.255;571.524;617.854;634.111;;;
DENMARK;;;;211.159;226.339;226.214;191.169;131.788;173.566;198.518;199.147;210.839;221.713;245.484;265.386;263.361;;;
FINLAND;;;;168.121;166.673;147.842;160.998;103.016;126.396;144.425;126.505;117.368;120.113;123.483;136.430;138.375;;;
FRANCE;;;;2.598.183;2.544.165;2.629.186;2.614.829;2.718.599;2.708.884;2.687.052;2.331.731;2.207.373;2.210.927;2.345.092;2.478.472;2.604.942;;;
GERMANY;;;;3.614.886;3.772.394;3.482.279;3.425.039;4.049.353;3.198.416;3.508.454;3.394.002;3.257.718;3.356.718;3.539.825;3.708.867;3.811.246;;;
GREECE;;;;295.266;294.060;306.875;292.865;237.118;153.842;104.682;62.518;62.570;76.665;82.044;85.008;95.363;;;
ICELAND;;;;20.870;20.198;19.305;10.579;2.471;3.395;5.471;8.507;8.022;10.630;15.605;20.735;24.059;;;
