day,month,year,deaths
1,JAN,2015,107
2,JAN,2015,101
3,JAN,2015,78
4,JAN,2015,121
5,JAN,2015,99
6,JAN,2015,104
7,JAN,2015,79
8,JAN,2015,73
9,JAN,2015,90
10,JAN,2015,75
11,JAN,2015,88
12,JAN,2015,85
13,JAN,2015,74
14,JAN,2015,98
15,JAN,2015,88
16,JAN,2015,111
17,JAN,2015,92
18,JAN,2015,90
19,JAN,2015,101
20,JAN,2015,98
21,JAN,2015,105
22,JAN,2015,71
23,JAN,2015,82
24,JAN,2015,84
25,JAN,2015,83
26,JAN,2015,83
27,JAN,2015,73
28,JAN,2015,87
29,JAN,2015,73
30,JAN,2015,78
31,JAN,2015,73
1,JAN,2016,89
2,JAN,2016,88
3,JAN,2016,79
4,JAN,2016,90
5,JAN,2016,80
6,JAN,2016,96
7,JAN,2016,92
8,JAN,2016,77
9,JAN,2016,86
10,JAN,2016,90
11,JAN,2016,86
12,JAN,2016,81
13,JAN,2016,79
14,JAN,2016,87
15,JAN,2016,94
16,JAN,2016,99
17,JAN,2016,92
18,JAN,2016,83
19,JAN,2016,81
20,JAN,2016,100
21,JAN,2016,81
22,JAN,2016,87
23,JAN,2016,92
24,JAN,2016,100
25,JAN,2016,92
26,JAN,2016,98
27,JAN,2016,91
28,JAN,2016,98
29,JAN,2016,92
30,JAN,2016,90
31,JAN,2016,72
1,JAN,2017,107
2,JAN,2017,108
3,JAN,2017,115
4,JAN,2017,81
5,JAN,2017,79
6,JAN,2017,90
7,JAN,2017,116
8,JAN,2017,108
9,JAN,2017,81
10,JAN,2017,85
11,JAN,2017,77
12,JAN,2017,75
13,JAN,2017,84
14,JAN,2017,103
15,JAN,2017,104
16,JAN,2017,103
17,JAN,2017,85
18,JAN,2017,94
19,JAN,2017,91
20,JAN,2017,88
21,JAN,2017,102
22,JAN,2017,90
23,JAN,2017,95
24,JAN,2017,87
25,JAN,2017,96
26,JAN,2017,94
27,JAN,2017,81
28,JAN,2017,99
29,JAN,2017,97
30,JAN,2017,97
31,JAN,2017,82
1,JAN,2018,95
2,JAN,2018,107
3,JAN,2018,92
4,JAN,2018,108
5,JAN,2018,94
6,JAN,2018,87
7,JAN,2018,97
8,JAN,2018,85
9,JAN,2018,91
10,JAN,2018,89
11,JAN,2018,94
12,JAN,2018,92
13,JAN,2018,107
14,JAN,2018,90
15,JAN,2018,93
16,JAN,2018,103
17,JAN,2018,83
18,JAN,2018,96
19,JAN,2018,75
20,JAN,2018,99
21,JAN,2018,91
22,JAN,2018,95
23,JAN,2018,67
24,JAN,2018,93
25,JAN,2018,86
26,JAN,2018,93
27,JAN,2018,86
28,JAN,2018,91
29,JAN,2018,88
30,JAN,2018,82
31,JAN,2018,72
1,FEB,2015,66
2,FEB,2015,114
3,FEB,2015,95
4,FEB,2015,87
5,FEB,2015,84
6,FEB,2015,93
7,FEB,2015,79
8,FEB,2015,94
9,FEB,2015,80
