ID_ESTACION	Provincia	Municipio	Localidad	Código postal	Dirección	Margen	Longitud	Latitud	Rótulo	Tipo venta	Rem.	Horario
1	ÁLAVA	ALEGRÍA-DULANTZI	ALEGRIA-DULANTZI	01240	CL MANISITU, 9	D	-2,509361	42,846028	REPSOL	P	dm	L-D: 24H
2	ÁLAVA	AMURRIO	LARRINBE	01468	POLIGONO ZANKUETA, 0	D	-2,989111	43,044333	ESTACIONES GB	P	dm	L-D: 24H
3	ÁLAVA	AMURRIO	LEZAMA	01450	CARRETERA A-624 KM. 37,8	D	-2,967611	33,031889	CEPSA	P	OM	L-D: 06:00-22:00
4	ÁLAVA	ARRAZUA-UBARRUNDIA	LUKO	01510	N-240-B km 11,8	D	-2,639528	42,941417	CEPSA	P	OM	L-D: 06:00-22:00
5	ÁLAVA	ARRAZUA-UBARRUNDIA	ZURBANO	01520	AUTOVIA N-1 km 358	N	-2,616361	42,876861	AVIA	P	dm	L-D: 24H
6	ÁLAVA	ARTZINIEGA	ARTZINIEGA	01474	AVENIDA DE GARAY, 23 (CARRETERA DE VITORIA A BALMASE km 56)	D	-3,122528	43,123361	AVIA 	P	dm	L-D: 24H
7	ÁLAVA	ASPARRENA	ILARDUIA	01260	N-IA km 385,1	I	-2,278694	42,866417	CEPSA	P	OM	L-D: 24H
8	ÁLAVA	CAMPEZO/KANPEZU	SANTA CRUZ CAMPEZO	01110	CR A-132  VITORIA-ESTELLA, 38,1	I	-2,357278	42,670222	PETRONOR	P	dm	L-D: 07:00-22:00
9	ÁLAVA	ELBURGO/BURGELU	ELBURGO/BURGELU	01192	CARRETERA N-1 KM. 364,4	D	-2,518167	42,878556	REPSOL	P	OM	L-D: 06:00-22:00
10	ÁLAVA	IRUÑA OKA/IRUÑA DE OCA	NANCLARES DE LA OCA	01230	CALLE A-1 KM 342. POL. IND. SUBILLABIDE (SUVILLAVIDE BIDEA), 2	D	-2,770694	42,824389	GAS NATURAL FENOSA	P	dm	L-D: 24H
11	ÁLAVA	IRUÑA OKA/IRUÑA DE OCA	NANCLARES DE LA OCA	01230	CALLE TRATADO DE MAASTRICH, 1	D	-2,774750	42,825250	PETRONIEVES	P	dm	L-D: 24H
12	ÁLAVA	IRUÑA OKA/IRUÑA DE OCA	NANCLARES DE LA OCA	01230	CALLE TRATADO DE PARIS, 6	D	-2,772250	42,823778	EUROCAM	P	dm	L-D: 24H
13	ÁLAVA	LABASTIDA	SALINILLAS DE BURADON	01212	CARRETERA N-124 KM. 35	I	-2,849833	42,635194	REPSOL	P	OM	"L-V: 07:00-21:45; S-D: 08:00-21:45"
14	ÁLAVA	LAGUARDIA	LAGUARDIA	01300	CARRETERA A-124 KM. 65	I	-2,578806	42,547639	REPSOL	P	OM	"L-V: 07:00-21:45; S-D: 08:00-21:45"
15	ÁLAVA	LANTARÓN	PUENTELARRÁ/LARRAZUBI	01423	CARRETERA A-2122 KM. 11	I	-3,045750	42,755583	AVIA	P	dm	L-D: 07:00-21:00
16	ÁLAVA	LLODIO	LAUDIO/LLODIO	01400	AVENIDA ZUMALACARREGUI (C.C. EROSKI), S/N	I	-2,968000	43,138000	EROSKI	P	dm	L-S: 07:30-21:30
17	ÁLAVA	LLODIO	LAUDIO/LLODIO	01400	CL ARETA, 2	D	-2,951361	43,148639	PETRONOR	P	OM	L-D: 06:00-22:00
18	ÁLAVA	OYÓN/OION	OYON-OION	01320	CARRETERA LOGROÑO KM. 10	D	-2,432278	42,490611	E.S. OION	P	dm	L-D: 07:00-23:00
19	ÁLAVA	RIBERA ALTA	POBES	01420	ACCESO A2622, 0	N	-2,901944	42,811250	E.S. TOCALU S.L.	P	dm	L-D: 07:00-22:00
20	ÁLAVA	RIBERA BAJA/ERRIBERA BEITIA	IGAY	01213	AU AP-68, 63,5	I	-2,913222	42,741361	PETRONOR	P	OM	L-D: 24H
21	ÁLAVA	RIBERA BAJA/ERRIBERA BEITIA	IGAY	01213	AU AP-68, 63  D	D	-2,913306	42,743111	PETRONOR	P	OM	L-D: 24H
22	ÁLAVA	RIBERA BAJA/ERRIBERA BEITIA	RIBABELLOSA	01213	AVENIDA ALAVA, 12	D	-2,920667	42,692917	EESS ROMPETROL	P	dm	L-D: 24H
23	ÁLAVA	RIBERA BAJA/ERRIBERA BEITIA	RIBABELLOSA	01213	POLIGONO SUI 1, (C.C. EROSKI), 1	N	-2,917639	42,704639	EROSKI	P	dm	L-S: 10:00-22:00
24	ÁLAVA	RIBERA BAJA/ERRIBERA BEITIA	RIBABELLOSA	01213	CARRETERA N-I KM. 323	N	-2,906944	42,710639	SHELL	P	OM	L-D: 24H
25	ÁLAVA	SALVATIERRA/AGURAIN	SALVATIERRA O AGURAIN	01200	CARRETERA ANTIGUA NACIONAL I KM. 375	N	-2,394583	42,848944	GALP	P	OM	L-D: 06:00-22:00
26	ÁLAVA	SAN MILLÁN/DONEMILIAGA	DURRUMA/SAN ROMAN DE SAN	01207	CALLE POLIGONO OKITURRI, 4	D	-2,324083	42,863583	IS-XXI	P	dm	L-D: 24H
27	ÁLAVA	SAN MILLÁN/DONEMILIAGA	DURRUMA/SAN ROMAN DE SAN	01207	POLIGONO OKITURRI, S/N	D	-2,320361	42,863500	"ANDAMUR ""SAN ROMAN"""	P	dm	L-D: 24H
28	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01002	CL PORTAL DE ELORRIAGA,17	D	-2,648306	42,849778	REPSOL	P	OM	L-D: 06:00-22:00
29	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01007	CALLE ALTO DE ARMENTIA, 2	N	-2,698917	42,836778	GALP	P	OM	L-D: 06:00-22:00
30	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01007	CALLE ALTO DE ARMENTIA, 10	D	-2,700972	42,837111	ARMENTIA	P	dm	L-D: 24H
31	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01008	CL CASTILLA, 30	D	-2,682278	42,842833	REPSOL	P	dm	"L-S: 06:00-23:00; D: 07:30-23:00"
32	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01010	CALLE DUSSELDORF, 1	D	-2,709972	42,852417	CEPSA	P	OM	L-D: 24H
33	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01010	CALLE BREMEN, 6	D	-2,708611	42,854694	EROSKI	P	dm	L-D: 24H
34	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01010	CALLE URARTEA, 23	D	-2,712722	42,863778	AVIA	P	dm	L-D: 06:30-22:30
35	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01010	AVENIDA MEDITERRANEO, 7	N	-2,693722	42,849028	CEPSA	P	dm	L-D: 06:00-22:00
36	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01010	AVENIDA AVDA. DE LOS HUETOS, 56	N	-2,716389	42,857194	ONAINDIA	P	dm	L-D: 06:00-22:00
37	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01010	ALIBARRA, 34	N	-2,710500	42,864944	AVIA	P	dm	L-V: 07:00-21:30
38	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01006	CL TRIANAS, 17	D	-2,664500	42,838722	REPSOL	P	OM	L-D: 06:00-22:00
39	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01006	CALLE VENTA DE LA ESTRELLA, 3	D	-2,658222	42,836833	CEPSA	P	OM	"L-V: 07:00-22:00; S: 07:00-21:00; D: 08:00-21:00"
40	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01013	AV AVENIDA DEL CANTABRICO,8 -(PG PO	D	-2,660222	42,864667	REPSOL	P	OM	L-D: 06:00-22:00
41	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01013	CALLE ZARAMAGA, 1	N	-2,664278	42,860306	EROSKI	P	dm	L-D: 24H
42	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01013	CL PORTAL BETO¿O, 1	D	-2,661694	42,859278	PETRONOR	P	OM	L-D: 06:00-22:00
