ID_ESTACION	Fecha	Precio gasolina 95	Precio gasóleo A	Precio gasóleo B	Precio bioetanol	Precio nuevo gasóleo A	Precio biodiesel	% éster metílico	% bioalcohol	Precio gasolina 98	Precio gas natural comprimido	Precio gas natural licuado	Precio gases licuados del petróleo	
1	02/04/2017		1,073	0,726										
2	02/04/2017	1,169	1,029			1,119				1,259				
3	02/04/2017	1,226	1,109			1,169				1,341				
4	02/04/2017	1,219	1,109			1,169				1,334				
5	02/04/2017	1,209	1,079		1,371	1,139	1,079			1,309				
6	02/04/2017	1,195	1,085	0,785		1,165				1,315				
7	02/04/2017	1,169	1,079			1,139								
8	02/04/2017	1,180	1,039	0,800		1,180								
9	02/04/2017	1,239	1,115			1,170				1,339			0,644	
10	02/04/2017										0,926	0,926		
11	02/04/2017		1,119	0,799										
12	02/04/2017	1,109	0,993											
13	02/04/2017	1,199	1,099	0,818		1,164				1,339				
14	02/04/2017	1,209	1,109	0,818		1,164								
15	02/04/2017	1,120	1,000											
16	02/04/2017	1,149	1,019			1,104				1,213				
17	02/04/2017	1,239	1,109			1,194				1,379				
18	02/04/2017	1,199	1,089	0,780						1,309				
19	02/04/2017	1,189	1,079	0,725										
20	02/04/2017	1,235	1,125			1,180				1,335				
21	02/04/2017	1,235	1,125			1,180				1,335				
22	02/04/2017	1,199	1,099			1,159	1,155			1,299				
23	02/04/2017	1,120	0,970			1,079				1,190				
24	02/04/2017	1,231	1,115			1,185								
25	02/04/2017	1,179	1,069	0,809		1,159				1,299				
26	02/04/2017	1,211	1,125	0,818			1,125							
27	02/04/2017	1,217	1,089	0,825						1,317				
28	02/04/2017	1,219	1,089			1,164				1,339			0,644	
29	02/04/2017	1,209	1,059			1,149				1,329				
30	02/04/2017	1,119	0,999											
31	02/04/2017	1,229	1,109			1,194				1,369				
32	02/04/2017	1,219	1,109			1,169				1,334			0,639	
33	02/04/2017	1,089	0,969											
34	02/04/2017	1,209	1,079			1,139	1,079			1,309			0,606	
35	02/04/2017	1,219	1,115			1,175				1,334				
36	02/04/2017	1,205	1,095	0,750		1,155				1,315				
37	02/04/2017	1,197	1,077			1,137				1,298				
38	02/04/2017	1,229	1,109			1,194				1,369				
39	02/04/2017	1,219	1,109			1,169				1,334				
40	02/04/2017	1,219	1,089			1,164				1,339				
41	02/04/2017	1,089	0,969			1,084								
42	02/04/2017	1,219	1,089			1,164				1,339				
43	02/04/2017	1,198	1,074			1,144				1,328				
44	02/04/2017	1179	1,049			1,119				1,309				
45	02/04/2017	1,169	1,049		1,448	1,109				1,294				
46	02/04/2017	1,205	1,095			1,155				1,315				
47	02/04/2017	1,199	1,094			1,179				1,341				
48	02/04/2017	1,229	1,109			1,184				1,359				
49	02/04/2017	1,219	1,089			1,164				1,339				
50	02/04/2017										0,853			
51	02/04/2017	1,235	1,125			1,175				1,335				
52	02/04/2017	1,219	1,109			1,169								
53	02/04/2017	1,139	1,019											
54	02/04/2017	1,209	1,079			1,139				1,309				
55	02/04/2017	1,249	1,125	0,813		1,180				1,349			0,644	
56	02/04/2017	1,249	1,125	0,823		1,180				1,349				
57	02/04/2017	1,235	1,125			1,180				1,335				
58	02/04/2017	1,235	1,125			1,180				1,335			0,644	
59	02/04/2017	1,226	1,109			1,169				1,341				
60	02/04/2017	1,218	1,109	0,679										
61	02/04/2017	1,409	1,239	0,799		1,319				1,459				
62	02/04/2017	1,229	1,119	0,765		1,177				1,318				
63	02/04/2017	1,219	1,109			1,159				1,379				
64	02/04/2017	1,239	1,119			1,179				1,339				
65	02/04/2017	1,269	1,149			1,219				1,389			0,671	
66	02/04/2017	1,229	1,139			1,209				1,379				
67	02/04/2017	1,238	1,138			1,197				1,537				
68	02/04/2017	1,269	1,139	0,875		1,209				1,425				
69	02/04/2017	1,239	1,129			1,199				1,369				
70	02/04/2017	1,189	1,069			1,119								
71	02/04/2017	1,259	1,149			1,219				1,389				
72	02/04/2017	1,249	1,139			1,189				1,349				
73	02/04/2017	1,161	0			1,109				1,280				
74	02/04/2017		1,059											
75	02/04/2017	1,234	1,149			1,209				1,349				
76	02/04/2017	1,245	1,129			1,189				1,375				
77	02/04/2017	1,259	1,149			1,219				1,389				
78	02/04/2017	1,189	1,069											
79	02/04/2017	1,189	1,059											
80	02/04/2017	1,239	1,149			1,209				1,348				
